Caso,Cant,CotaDual,mejor1,var1,t1,mejor4,var4,t4,mejor5,var5,t5,mejor6,var6,t6
f0018.in,18,10.0,10.0,342,0.164,0.0,0,0.0,9.3333333,34,0.002,9.33,62,0.0
f0032.in,32,18.583,10.0,342,0.164,17.0,1056,0.84,18.583333,38,0.002,19.0,0,0.0
f0512.in,512,286.911,0.0,0,0.0,0.0,0,0.0,286.911,2349,0.0,306.0,0,1.0
f0514.in,514,287.844,0.0,0,0.0,0.0,0,0.0,287.84375,2595,1.0,310.0,0,0.0
f0677.in,677,399.0833333333333,0,0,480,0,0,480,371.4375,3094,1.0,399.0833333333333,215,0.0
f2048.in,2048,1131.5,0.0,0,0.0,0.0,0,0.0,1131.5,10988,2.0,1108.5,4645,5.0

f0018.in,18,10,inf,variable1,480,10,342,88.0,10,69,3.634467363357544,10,65,5.162177801132202
f0032.in,32,17,inf,variable1,480,inf,variable4,480,17,83,15.245849370956421,17,108,16.531593799591064
f0512.in,512,287,inf,variable1,480,inf,variable4,480,288,2677,420.3086585998535,287,2760,420.0342676639557
f0514.in,514,287,inf,variable1,480,inf,variable4,480,289,2498,420.29226207733154,287,3501,420.2684667110443
f0677.in,677,373,inf,variable1,480,inf,variable4,480,373,4562,420.97151255607605,375,4329,420.3915078639984
f2048.in,2048,1109,inf,variable1,480,inf,variable4,480,1109,14018,450.1560938358307,1115,13494,431.4179902076721
