caso,cant,mejor5,var5,tiempo5,mejor6,var6,tiempo6,cota dual
+f0017.in,17,9,22,3.504631757736206,9,0,0.01151895523071289,9
+f0032.in,32,18,40,4.120166301727295,17,0,0.011180400848388672,17
+f0074.in,74,35,95,14.901528358459473,38,0,0.017502307891845703,38
+f0512.in,512,279,358,12.748427867889404,279,0,0.23322844505310059,279
+f0850.in,850,445,563,51.212841510772705,445,0,0.6690278053283691,445
+f2048.in,2048,1021,1198,422.9856996536255,1021,0,4.475183486938477,1021

f0017.in,17,9,22,3.569455623626709,9,9,0.012553215026855469,9
f0032.in,32,18,30,3.880344867706299,17,17,0.013361454010009766,17
f0074.in,74,35,77,14.504797220230103,38,38,0.018031835556030273,38
f0512.in,512,279,0,19.138274431228638,279,279,0.7185020446777344,279
f0850.in,850,445,0,140.35196733474731,445,445,0.5904340744018555,445
f2048.in,2048,1021,9,424.3145008087158,1021,1021,3.7724881172180176,1021
